episode,episode_reward,smoothed_reward
805,-4060.0,-163900.62000000002
806,-4616.0,-163906.98
807,-3632.0,-163903.04
808,-3970.0,-163906.1
809,-3047.0,-163907.99999999997
810,-1003031.0,-163911.12
811,-3029.0,-163920.12999999998
812,-3902.0,-163919.99
813,-4310.0,-163923.52
814,-3577.0,-163927.15999999997
815,-4278.0,-163920.15999999997
816,-4255.0,-163923.71999999997
817,-3754.0,-163925.93
818,-4655.0,-163930.82
819,-4288.0,-163934.40000000002
820,-3574.0,-163937.76
821,-3407.0,-163932.11
822,-4266.0,-163926.41
823,-1003728.0,-173925.42
824,-3420.0,-163932.83
825,-3196.0,-163947.31
826,-4442.0,-163945.37
827,-4294.0,-163923.68000000002
828,-3750.0,-173916.76
829,-3015.0,-173903.78
830,-3597.0,-173905.86000000002
831,-1003803.0,-173905.94
832,-3605.0,-173904.13
833,-3573.0,-173905.11
834,-3982.0,-173904.49000000002
835,-3021.0,-173897.36000000004
836,-3003840.0,-183887.50000000003
837,-4284.0,-183880.51000000004
838,-3942.0,-163879.53000000003
839,-5170.0,-163878.50999999998
840,-3587.0,-163886.94999999998
841,-3548.0,-163890.31
842,-4302.0,-163886.58999999997
843,-3908.0,-163886.56
844,-3910.0,-163883.00000000003
845,-1002819.0,-163893.86000000004
846,-3612.0,-163898.72000000003
847,-3764.0,-163895.40000000002
848,-3938.0,-163896.74000000002
849,-3023.0,-163904.06
850,-1004418.0,-173916.17
851,-5218.0,-163921.77000000005
852,-1004266.0,-163924.99000000005
853,-4094.0,-163917.83000000005
854,-4282.0,-153917.97000000006
855,-3682.0,-153914.19000000003
856,-3906.0,-153916.12000000002
857,-3390.0,-153908.68
858,-4686.0,-153910.15999999997
859,-4592.0,-153913.01999999996
860,-4286.0,-153921.44999999998
861,-4298.0,-143932.3
862,-4121.0,-143952.1
863,-3924.0,-143956.02
864,-3574.0,-143946.75
865,-4108.0,-153951.91999999998
866,-4298.0,-153952.99999999997
867,-4399.0,-153949.50999999998
868,-4332.0,-163951.01
869,-1003342.0,-163945.08
870,-4265.0,-163934.62
871,-3716.0,-183925.35
872,-1003560.0,-193933.62000000002
873,-3374.0,-193937.74000000002
874,-4288.0,-183943.06
875,-3345.0,-183951.04
876,-3047.0,-183963.73
877,-1004258.0,-183954.66
878,-4278.0,-183949.54999999996
879,-4500.0,-183958.05000000002
880,-3744.0,-183970.80000000002
881,-3563.0,-193977.25
882,-4376.0,-183987.44000000003
883,-4310.0,-183992.45
